0.72593,1.6195,2.5997,3.5807,4.5431,5.4755,6.3682,7.212,7.9981,8.7183,9.3659,9.9357,10.425,10.833,11.164,11.423,11.619,11.76,11.855,11.914,11.94,11.936,11.896,11.815,11.682,11.483,11.207,10.842,10.379,9.8139,9.1459,8.3797,7.5246,6.5951,5.6104,4.5942,3.5743,2.5837,1.6616,0.8606,0.28051
0.68951,1.5383,2.4697,3.4021,4.3174,5.2048,6.0554,6.8606,7.6121,8.3023,8.9248,9.4748,9.9494,10.349,10.675,10.934,11.132,11.28,11.384,11.453,11.491,11.498,11.472,11.405,11.286,11.104,10.846,10.5,10.059,9.5171,8.8742,8.1347,7.3078,6.4075,5.4526,4.4662,3.4755,2.5127,1.6162,0.83714,0.27288
0.65385,1.4588,2.3422,3.227,4.0959,4.9389,5.7478,6.5144,7.2312,7.8909,8.4877,9.0168,9.4757,9.8642,10.184,10.441,10.642,10.794,10.905,10.983,11.031,11.05,11.037,10.983,10.879,10.713,10.472,10.146,9.7266,9.2085,8.5915,7.8796,7.0819,6.2119,5.288,4.3326,3.3724,2.4386,1.5688,0.81264,0.2649
0.61909,1.3813,2.2179,3.056,3.8795,4.679,5.4466,6.175,6.8571,7.4862,8.0567,8.5642,9.0064,9.3829,9.6958,9.9495,10.15,10.306,10.423,10.508,10.566,10.595,10.593,10.551,10.461,10.311,10.088,9.7815,9.3837,8.8898,8.2991,7.6156,6.8478,6.0091,5.1172,4.1939,3.2653,2.3616,1.5195,0.78719,0.25662
0.58533,1.306,2.0972,2.8899,3.669,4.4258,5.153,5.8437,6.4913,7.0897,7.6337,8.1191,8.5438,8.9073,9.2116,9.4608,9.6606,9.8179,9.9395,10.031,10.096,10.134,10.142,10.113,10.036,9.9008,9.6948,9.408,9.0321,8.5625,7.9984,7.3437,6.6067,5.8001,4.941,4.0508,3.1547,2.2821,1.4686,0.76088,0.24806
0.55265,1.2331,1.9802,2.7288,3.4649,4.1801,4.8678,5.5216,6.1352,6.7031,7.2204,7.6834,8.0898,8.4395,8.7342,8.9776,9.175,9.3329,9.4575,9.5541,9.6256,9.6718,9.689,9.6702,9.6059,9.4847,9.2954,9.0276,8.6734,8.2281,7.691,7.0655,6.3596,5.5856,4.7602,3.9039,3.0411,2.2004,1.4162,0.73384,0.23925
0.52111,1.1628,1.8673,2.5733,3.2676,3.9426,4.5918,5.2094,5.7897,6.3275,6.8182,7.2585,7.6464,7.9816,8.2657,8.5022,8.6961,8.8533,8.9795,9.0797,9.1564,9.2092,9.2345,9.2254,9.1725,9.0649,8.8915,8.6423,8.3095,7.8884,7.3781,6.782,6.1076,5.3668,4.5756,3.7537,2.9249,2.1169,1.3627,0.70617,0.23024
0.49076,1.0951,1.7585,2.4236,3.0776,3.7135,4.3254,4.9079,5.4556,5.9637,6.4282,6.8459,7.2149,7.535,7.8078,8.0366,8.2258,8.3811,8.5078,8.6103,8.6909,8.7491,8.7813,8.7807,8.7383,8.6434,8.4852,8.254,7.9421,7.545,7.0615,6.4948,5.852,5.1446,4.3879,3.6011,2.8068,2.0318,1.3081,0.678,0.22107
0.46162,1.03,1.6541,2.2797,2.8949,3.4933,4.0691,4.6175,5.1335,5.6127,6.0513,6.4464,6.7965,7.1012,7.3622,7.5824,7.7661,7.9184,8.0444,8.148,8.2313,8.2937,8.3317,8.3386,8.3055,8.2224,8.0786,7.8647,7.5732,7.1995,6.7425,6.205,5.5939,4.9201,4.1982,3.4465,2.6871,1.9457,1.2529,0.64944,0.21177
0.43371,0.96775,1.5541,2.1418,2.7198,3.282,3.8232,4.3386,4.8239,5.2749,5.6882,6.0611,6.3922,6.6814,6.9301,7.141,7.3184,7.4669,7.5911,7.6947,7.7796,7.8451,7.8877,7.9009,7.8763,7.8039,7.6737,7.4763,7.2044,6.8537,6.4227,5.9142,5.3346,4.6942,4.0071,3.2909,2.5665,1.8588,1.1972,0.62062,0.20239
0.40702,0.9082,1.4584,2.0099,2.5523,3.0798,3.5876,4.0714,4.527,4.9507,5.3393,5.6904,6.0028,6.2763,6.5124,6.7138,6.8841,7.0279,7.1494,7.2521,7.3376,7.4051,7.4512,7.4697,7.4525,7.3899,7.2722,7.0905,6.8376,6.5091,6.1037,5.6237,5.0753,4.4681,3.8157,3.1348,2.4455,1.7716,1.1412,0.59168,0.19296
0.38156,0.85137,1.3671,1.884,2.3924,2.8866,3.3625,3.8159,4.2429,4.6402,5.0049,5.3347,5.6287,5.8867,6.1101,6.3014,6.4643,6.6027,6.7208,6.8216,6.9067,6.9753,7.0239,7.0468,7.0359,6.9821,6.8761,6.7091,6.4743,6.1673,5.7868,5.3348,4.817,4.2428,3.6247,2.979,2.3247,1.6844,1.0852,0.56274,0.18353
0.3573,0.79723,1.2801,1.7641,2.2399,2.7025,3.1478,3.5721,3.9717,4.3436,4.6852,4.9944,5.2703,5.5129,5.7236,5.9048,6.0597,6.1923,6.3063,6.4045,6.4884,6.5571,6.6074,6.6336,6.6281,6.5822,6.4868,6.3337,6.1162,5.8299,5.4735,5.0488,4.5611,4.0192,3.4351,2.8241,2.2045,1.5977,1.0296,0.53393,0.17415
0.33422,0.74571,1.1974,1.6499,2.0948,2.5272,2.9434,3.3398,3.7133,4.0609,4.3801,4.6694,4.9277,5.1553,5.3534,5.5243,5.6711,5.7974,5.9067,6.0018,6.0838,6.1518,6.2029,6.2316,6.2306,6.1916,6.106,5.9658,5.7646,5.4982,5.165,4.7668,4.3085,3.7983,3.2476,2.6709,2.0855,1.5118,0.97437,0.50537,0.16484
0.3123,0.69678,1.1187,1.5414,1.9569,2.3606,2.7491,3.119,3.4675,3.7918,4.0897,4.3597,4.6011,4.814,4.9997,5.1603,5.2988,5.4185,5.5228,5.6142,5.6936,5.7604,5.8115,5.8419,5.8446,5.8117,5.7349,5.6067,5.4209,5.1734,4.8626,4.49,4.0602,3.581,3.063,2.5199,1.9681,1.4271,0.91992,0.47718,0.15565
0.29149,0.65034,1.0441,1.4385,1.826,2.2025,2.5646,2.9094,3.234,3.5361,3.8136,4.0652,4.2902,4.4889,4.6624,4.8129,4.943,5.0561,5.155,5.2422,5.3187,5.3836,5.4342,5.4655,5.4711,5.4434,5.3747,5.2576,5.0863,4.8566,4.5673,4.2194,3.8173,3.3681,2.882,2.3717,1.8529,1.3438,0.8664,0.44947,0.14662
0.27177,0.60632,0.97338,1.3409,1.702,2.0526,2.3897,2.7106,3.0126,3.2935,3.5516,3.7856,3.9949,4.1798,4.3416,4.4821,4.6039,4.7102,4.8036,4.8864,4.9594,5.022,5.0715,5.1032,5.111,5.0879,5.0263,4.9195,4.7616,4.549,4.2801,3.9559,3.5805,3.1604,2.7052,2.227,1.7403,1.2624,0.81403,0.42235,0.13778
0.25309,0.56463,0.9064,1.2485,1.5845,1.9107,2.2241,2.5223,2.8029,3.0638,3.3033,3.5205,3.7148,3.8866,4.0369,4.1677,4.2814,4.3808,4.4686,4.5468,4.6162,4.6761,4.7239,4.7555,4.765,4.7457,4.6905,4.5931,4.4479,4.2514,4.0019,3.7004,3.3506,2.9586,2.5333,2.086,1.6306,1.1831,0.76298,0.3959,0.12916
